"id","protein_id","hits_to","query_protein_length","percentage_phage_coat","percentage_encapsulin","enc_perc_fraction","group","clan_phagecoat_percentage","clan_phagecoat_percentage_adjusted","query_genome_length","encapsulin_coverage","mcp_coverage","mcp_percentage","total_aligned","encapsulin_fraction","query_genome_length_kbp"
"DTR_376838","DTR_376838_15","Linocin_M18",283,52.84,52.84,100,"Mini",52.84,52.84,8770,NA,NA,NA,NA,1,8.77
"DTR_436721","DTR_436721_3","CHDCT2|Phage_capsid",411,65.12,0,0,"Control",65.12,65.12,13839,NA,NA,NA,NA,0,13.839
"DTR_344570","DTR_344570_23","Peptidase_S78|Phage_capsid|Phage_capsid_2",517,53.68,0,0,"Control",53.68,53.68,16537,NA,NA,NA,NA,0,16.537
"DTR_267195","DTR_267195_17","MAP2_projctn|Phage_capsid",291,32.07,0,0,"Control",32.07,32.07,14933,NA,NA,NA,NA,0,14.933
"DTR_226580","DTR_226580_20","Peptidase_S78|Phage_capsid|Trypan_PARP",492,22.81,0,0,"Control",22.81,22.81,15071,NA,NA,NA,NA,0,15.071
"DTR_848674","DTR_848674_12","Phage_cap_E",376,85.33,0,0,"Control",85.33,85.33,18670,NA,NA,NA,NA,0,18.67
"DTR_156008","DTR_156008_1","Peptidase_S78|Phage_capsid",455,58.15,0,0,"Control",58.15,58.15,14609,NA,NA,NA,NA,0,14.609
"DTR_788640","DTR_788640_2","Phage_capsid_2",285,29.93,0,0,"Mini",29.93,29.93,8280,NA,NA,NA,NA,0,8.28
"DTR_283508","DTR_283508_3","Phage_capsid",284,53.36,0,0,"Control",53.36,53.36,15029,NA,NA,NA,NA,0,15.029
"DTR_840197","DTR_840197_10","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13724,NA,NA,NA,NA,0,13.724
"DTR_371274","DTR_371274_11","OSK|Phage_capsid",305,92.11,0,0,"Mini",92.11,92.11,9659,NA,NA,NA,NA,0,9.659
"DTR_255369","DTR_255369_9","DUF3759|PT-TG|Phage_capsid",419,41.15,0,0,"Mini",41.15,41.15,10358,NA,NA,NA,NA,0,10.358
"DTR_395220","DTR_395220_5","Phage_capsid",410,64.79,0,0,"Control",64.79,64.79,13135,NA,NA,NA,NA,0,13.135
"DTR_201693","DTR_201693_2","Acetyltransf_18|Phage_capsid",358,66.95,0,0,"Mini",66.95,66.95,10313,NA,NA,NA,NA,0,10.313
"DTR_170663","DTR_170663_9","Phage_capsid",296,94.92,0,0,"Control",94.92,94.92,15975,NA,NA,NA,NA,0,15.975
"DTR_315457","DTR_315457_9","Peptidase_S78|Phage_capsid|Phage_capsid_2",518,53.97,0,0,"Control",53.97,53.97,15715,NA,NA,NA,NA,0,15.715
"DTR_548890","DTR_548890_10","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13289,NA,NA,NA,NA,0,13.289
"DTR_141859","DTR_141859_13","His_biosynth|Phage_capsid",299,94.63,0,0,"Control",94.63,94.63,15351,NA,NA,NA,NA,0,15.351
"DTR_134593","DTR_134593_2","Phage_capsid",299,93.29,0,0,"Control",93.29,93.29,16601,NA,NA,NA,NA,0,16.601
"DTR_194940","DTR_194940_13","Linocin_M18|Phage_capsid",451,54,18.44,34.14814815,"Control",54,54,16835,NA,NA,NA,NA,0.3414814815,16.835
"DTR_260339","DTR_260339_1","Phage_capsid",248,45.97,0,0,"Mini",45.97,45.97,8334,NA,NA,NA,NA,0,8.334
"DTR_721935","DTR_721935_11","Phage_capsid",410,64.79,0,0,"Control",64.79,64.79,13242,NA,NA,NA,NA,0,13.242
"DTR_595490","DTR_595490_18","LKAAEAR|Phage_capsid",407,65.76,0,0,"Control",65.76,65.76,14269,NA,NA,NA,NA,0,14.269
"DTR_667942","DTR_667942_1","CpG_bind_C|DUF349|PSDC|Phage_capsid",430,65.03,0,0,"Mini",65.03,65.03,8110,NA,NA,NA,NA,0,8.11
"DTR_847870","DTR_847870_19","FlhD|Peptidase_S78|Phage_capsid",551,50.55,0,0,"Control",50.55,50.55,16555,NA,NA,NA,NA,0,16.555
"DTR_142390","DTR_142390_2","Phage_capsid",370,66.4,0,0,"Mini",66.4,66.4,9828,NA,NA,NA,NA,0,9.828
"DTR_316701","DTR_316701_1","Peptidase_S78|Phage_capsid",489,33.33,0,0,"Control",33.33,33.33,15828,NA,NA,NA,NA,0,15.828
"DTR_516903","DTR_516903_1","Phage_capsid|Phage_capsid_2",290,62.98,0,0,"Mini",62.98,62.98,5269,NA,NA,NA,NA,0,5.269
"DTR_553056","DTR_553056_7","Phage_capsid",431,61.86,0,0,"Mini",61.86,61.86,8565,NA,NA,NA,NA,0,8.565
"DTR_013837","DTR_013837_10","DUF6760|Peptidase_S78|Phage_capsid|RRM_3",553,49.64,0,0,"Mini",49.64,49.64,8134,NA,NA,NA,NA,0,8.134
"DTR_287227","DTR_287227_3","Peptidase_S78|Phage_capsid",504,43.54,0,0,"Control",43.54,43.54,15922,NA,NA,NA,NA,0,15.922
"DTR_089390","DTR_089390_18","Phage_capsid",284,51.24,0,0,"Control",51.24,51.24,13241,NA,NA,NA,NA,0,13.241
"DTR_739162","DTR_739162_1","Linocin_M18",280,38.35,38.35,100,"Mini",38.35,38.35,8525,NA,NA,NA,NA,1,8.525
"DTR_848894","DTR_848894_22","Peptidase_S78|Phage_capsid",523,30.08,0,0,"Control",30.08,30.08,16682,NA,NA,NA,NA,0,16.682
"DTR_676124","DTR_676124_22","Phage_capsid_2|TraT",285,72.54,0,0,"Control",72.54,72.54,14610,NA,NA,NA,NA,0,14.61
"DTR_401114","DTR_401114_7","Phage_capsid",293,91.78,0,0,"Mini",91.78,91.78,7736,NA,NA,NA,NA,0,7.736
"DTR_696904","DTR_696904_6","DUF1412|DUF2184|Glyco_hydro_88|Peptidase_S78|Phage_capsid",499,54.02,0,0,"Mini",54.02,54.02,11488,NA,NA,NA,NA,0,11.488
"DTR_317329","DTR_317329_21","NESP55|Peptidase_S78|Phage_capsid",542,41.59,0,0,"Control",41.59,41.59,15556,NA,NA,NA,NA,0,15.556
"DTR_200675","DTR_200675_10","DUF5309",344,89.8,0,0,"Control",89.8,89.8,16522,NA,NA,NA,NA,0,16.522
"DTR_371153","DTR_371153_11","Peptidase_S78|Phage_capsid",523,30.46,0,0,"Control",30.46,30.46,16575,NA,NA,NA,NA,0,16.575
"DTR_658721","DTR_658721_1","Phage_capsid",418,42.58,0,0,"Control",42.58,42.58,14260,NA,NA,NA,NA,0,14.26
"DTR_053381","DTR_053381_15","DUF1843|Phage_capsid",354,66.57,0,0,"Mini",66.57,66.57,10756,NA,NA,NA,NA,0,10.756
"DTR_049181","DTR_049181_8","Phage_capsid",330,45.29,0,0,"Mini",45.29,45.29,11338,NA,NA,NA,NA,0,11.338
"DTR_311302","DTR_311302_24","DUF3291|Phage_capsid",289,93.4,0,0,"Control",93.4,93.4,15632,NA,NA,NA,NA,0,15.632
"DTR_850146","DTR_850146_9","Peptidase_S78|Phage_capsid",523,30.46,0,0,"Control",30.46,30.46,16662,NA,NA,NA,NA,0,16.662
"DTR_547771","DTR_547771_11","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13053,NA,NA,NA,NA,0,13.053
"DTR_236843","DTR_236843_4","Phage_capsid",376,68,0,0,"Mini",68,68,11012,NA,NA,NA,NA,0,11.012
"DTR_677353","DTR_677353_16","Gp10A-like|Hex_IIIa|Phage_capsid_2",285,70.42,0,0,"Control",70.42,70.42,15121,NA,NA,NA,NA,0,15.121
"DTR_281277","DTR_281277_8","DUF1412|DUF2184|Glyco_hydro_88|Peptidase_S78|Phage_capsid",499,54.02,0,0,"Mini",54.02,54.02,11532,NA,NA,NA,NA,0,11.532
"DTR_597064","DTR_597064_5","DUF4235|Gp10A-like|P22_CoatProtein",304,85.48,0,0,"Mini",85.48,85.48,5538,NA,NA,NA,NA,0,5.538
"DTR_186352","DTR_186352_12","Phage_cap_E",376,83.73,0,0,"Control",83.73,83.73,16713,NA,NA,NA,NA,0,16.713
"DTR_598080","DTR_598080_5","Caprin-1_dimer|DUF6384|DUF6823|Phage_capsid",420,65.63,0,0,"Mini",65.63,65.63,8321,NA,NA,NA,NA,0,8.321
"DTR_459765","DTR_459765_1","Phage_capsid|Synuclein",278,96.75,0,0,"Mini",96.75,96.75,8850,NA,NA,NA,NA,0,8.85
"DTR_623521","DTR_623521_7","Phage_capsid",413,64.81,0,0,"Control",64.81,64.81,13481,NA,NA,NA,NA,0,13.481
"DTR_171766","DTR_171766_1","DUF1778|Peptidase_S78|Phage_capsid|UPF0236",416,42.79,0,0,"Control",42.79,42.79,14992,NA,NA,NA,NA,0,14.992
"DTR_171767","DTR_171767_4","His_biosynth|Phage_capsid|Phage_capsid_2",298,93.94,0,0,"Control",93.94,93.94,14039,NA,NA,NA,NA,0,14.039
"DTR_325472","DTR_325472_4","Phage_capsid",279,60.79,0,0,"Mini",60.79,60.79,10045,NA,NA,NA,NA,0,10.045
"DTR_809041","DTR_809041_3","Cadherin-like|DUF4781|Phage_capsid|Ribosomal_S20p",482,30.77,0,0,"Control",30.77,30.77,16831,NA,NA,NA,NA,0,16.831
"DTR_523947","DTR_523947_5","Phage_capsid",403,65.42,0,0,"Mini",65.42,65.42,8138,NA,NA,NA,NA,0,8.138
"DTR_643395","DTR_643395_16","DUF4394|Phage_capsid",162,66.46,0,0,"Control",66.46,66.46,15020,NA,NA,NA,NA,0,15.02
"DTR_597616","DTR_597616_9","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13059,NA,NA,NA,NA,0,13.059
"DTR_892417","DTR_892417_9","Phage_capsid_2",289,61.11,0,0,"Control",61.11,61.11,11786,NA,NA,NA,NA,0,11.786
"DTR_111099","DTR_111099_1","DUF5342|Phage_capsid_2",285,60.92,0,0,"Mini",60.92,60.92,10894,NA,NA,NA,NA,0,10.894
"DTR_311303","DTR_311303_5","DUF3090|DUF6242|Peptidase_S78|Phage_capsid|dbPDZ_assoc",513,54.69,0,0,"Control",54.69,54.69,15208,NA,NA,NA,NA,0,15.208
"DTR_300176","DTR_300176_23","Peptidase_S78|Phage_capsid",503,29.68,0,0,"Control",29.68,29.68,14344,NA,NA,NA,NA,0,14.344
"DTR_144590","DTR_144590_1","Phage_capsid",350,38.57,0,0,"Mini",38.57,38.57,11493,NA,NA,NA,NA,0,11.493
"DTR_415565","DTR_415565_2","Peptidase_S78|Phage_capsid",519,49.42,0,0,"Control",49.42,49.42,16364,NA,NA,NA,NA,0,16.364
"DTR_583346","DTR_583346_6","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13062,NA,NA,NA,NA,0,13.062
"DTR_287109","DTR_287109_8","DUF2150|P22_CoatProtein|Phage_capsid_2",298,84.51,0,0,"Control",84.51,84.51,14861,NA,NA,NA,NA,0,14.861
"DTR_099678","DTR_099678_2","Phage_capsid",410,65.28,0,0,"Control",65.28,65.28,12424,NA,NA,NA,NA,0,12.424
"DTR_878417","DTR_878417_17","B|Phage_capsid",411,65.12,0,0,"Control",65.12,65.12,13461,NA,NA,NA,NA,0,13.461
"DTR_202400","DTR_202400_18","Mu-like_gpT|UB2H",636,27.87,0,0,"Control",27.87,27.87,12649,NA,NA,NA,NA,0,12.649
"DTR_177286","DTR_177286_9","Phage_cap_E",336,94.63,0,0,"Control",94.63,94.63,12484,NA,NA,NA,NA,0,12.484
"DTR_293195","DTR_293195_8","Phage_capsid",451,56.22,0,0,"Control",56.22,56.22,19532,NA,NA,NA,NA,0,19.532
"DTR_330594","DTR_330594_1","Phage_capsid",282,95.39,0,0,"Control",95.39,95.39,15124,NA,NA,NA,NA,0,15.124
"DTR_552000","DTR_552000_20","Phage_cap_E",351,93.71,0,0,"Control",93.71,93.71,19269,NA,NA,NA,NA,0,19.269
"DTR_410906","DTR_410906_21","BLOC1_2|Phage_capsid|TMP_3",397,72.22,0,0,"Control",72.22,72.22,15809,NA,NA,NA,NA,0,15.809
"DTR_194887","DTR_194887_1","Linocin_M18|Phage_capsid",451,54,18.44,34.14814815,"Control",54,54,16835,NA,NA,NA,NA,0.3414814815,16.835
"DTR_015222","DTR_015222_1","Alanine_zipper|MOZART2|Phage_capsid",340,71.39,0,0,"Mini",71.39,71.39,8756,NA,NA,NA,NA,0,8.756
"DTR_891713","DTR_891713_18","Phage_cap_E",306,21.97,0,0,"Control",21.97,21.97,16027,NA,NA,NA,NA,0,16.027
"DTR_825593","DTR_825593_3","P22_CoatProtein|S-l_SbsC_C",358,43.14,0,0,"Micro",43.14,43.14,2800,NA,NA,NA,NA,0,2.8
"DTR_524254","DTR_524254_7","Mu-like_gpT",310,65.05,0,0,"Mini",65.05,65.05,10629,NA,NA,NA,NA,0,10.629
"DTR_141853","DTR_141853_18","Linocin_M18|Peptidase_S78|Phage_capsid|fvmX7",519,58.88,19.88,33.76358696,"Control",58.88,58.88,16907,NA,NA,NA,NA,0.3376358696,16.907
"DTR_029648","DTR_029648_10","Phage_cap_E",305,32.57,0,0,"Control",32.57,32.57,12430,NA,NA,NA,NA,0,12.43
"DTR_672116","DTR_672116_11","Linocin_M18|aSelB_III",281,35.71,35.71,100,"Mini",35.71,35.71,9544,NA,NA,NA,NA,1,9.544
"DTR_499197","DTR_499197_11","Phage_capsid",403,64.43,0,0,"Mini",64.43,64.43,8254,NA,NA,NA,NA,0,8.254
"DTR_164333","DTR_164333_5","DUF948|GAT|Phage_capsid",399,29.9,0,0,"Mini",29.9,29.9,8447,NA,NA,NA,NA,0,8.447
"DTR_887541","DTR_887541_15","Phage_cap_E",336,94.63,0,0,"Control",94.63,94.63,12456,NA,NA,NA,NA,0,12.456
"DTR_297884","DTR_297884_1","Gp10A-like|Hex_IIIa|Phage_capsid_2",285,70.42,0,0,"Control",70.42,70.42,15175,NA,NA,NA,NA,0,15.175
"DTR_141862","DTR_141862_6","Phage_capsid",300,94.31,0,0,"Control",94.31,94.31,14087,NA,NA,NA,NA,0,14.087
"DTR_111873","DTR_111873_11","Phage_capsid",352,38.46,0,0,"Mini",38.46,38.46,11493,NA,NA,NA,NA,0,11.493
"DTR_233706","DTR_233706_10","NESP55|Peptidase_S78|Phage_capsid",542,46.77,0,0,"Control",46.77,46.77,15862,NA,NA,NA,NA,0,15.862
"DTR_833160","DTR_833160_2","Peptidase_S78|Phage_capsid",519,49.42,0,0,"Control",49.42,49.42,16408,NA,NA,NA,NA,0,16.408
"DTR_605977","DTR_605977_4","Phage_capsid",318,86.75,0,0,"Mini",86.75,86.75,11573,NA,NA,NA,NA,0,11.573
"DTR_086868","DTR_086868_17","EspB|Osmo_CC|Phage_capsid|Plasmid_RAQPRD",416,68.67,0,0,"Control",68.67,68.67,17142,NA,NA,NA,NA,0,17.142
"DTR_075082","DTR_075082_12","Phage_cap_E",376,83.73,0,0,"Control",83.73,83.73,15931,NA,NA,NA,NA,0,15.931
"DTR_508808","DTR_508808_6","Peptidase_S78|Phage_capsid|Sigma70_ner",604,42.29,0,0,"Mini",42.29,42.29,7367,NA,NA,NA,NA,0,7.367
"DTR_141861","DTR_141861_8","Peptidase_S78|Phage_capsid_2",523,18.77,0,0,"Control",18.77,18.77,14678,NA,NA,NA,NA,0,14.678
"DTR_531772","DTR_531772_7","Phage_capsid",431,61.86,0,0,"Mini",61.86,61.86,8687,NA,NA,NA,NA,0,8.687
"DTR_277084","DTR_277084_12","DUF5073|Phage_capsid",650,43.14,0,0,"Control",43.14,43.14,16990,NA,NA,NA,NA,0,16.99
"DTR_125648","DTR_125648_7","Peptidase_S78|Peptidase_S78_2|Phage_capsid",604,58.54,0,0,"Control",58.54,58.54,19866,NA,NA,NA,NA,0,19.866
"DTR_677504","DTR_677504_16","Gp10A-like|Hex_IIIa|Phage_capsid_2",285,70.42,0,0,"Control",70.42,70.42,15080,NA,NA,NA,NA,0,15.08
"DTR_315459","DTR_315459_12","Peptidase_S78|Phage_capsid",537,31.16,0,0,"Control",31.16,31.16,14778,NA,NA,NA,NA,0,14.778
"DTR_112546","DTR_112546_28","Peptidase_S78|Phage_capsid",509,46.65,0,0,"Control",46.65,46.65,16610,NA,NA,NA,NA,0,16.61
"DTR_285879","DTR_285879_5","Phage_capsid",412,63.5,0,0,"Mini",63.5,63.5,8334,NA,NA,NA,NA,0,8.334
"DTR_264261","DTR_264261_13","Peptidase_S78|Phage_capsid",503,29.68,0,0,"Control",29.68,29.68,14344,NA,NA,NA,NA,0,14.344
"DTR_872783","DTR_872783_12","FMN_bind|Get5_C|Phage_capsid",411,64.39,0,0,"Control",64.39,64.39,12173,NA,NA,NA,NA,0,12.173
"DTR_364416","DTR_364416_9","Linocin_M18|Phage_cap_E",289,40.62,29.51,72.64894141,"Control",40.62,40.62,12882,NA,NA,NA,NA,0.7264894141,12.882
"DTR_311890","DTR_311890_15","Peptidase_S78|Phage_capsid",489,55.33,0,0,"Control",55.33,55.33,15517,NA,NA,NA,NA,0,15.517
"DTR_616027","DTR_616027_8","Linocin_M18",277,40.94,40.94,100,"Mini",40.94,40.94,8628,NA,NA,NA,NA,1,8.628
"DTR_621082","DTR_621082_7","DUF4235|Peptidase_S78|Phage_capsid",526,27.24,0,0,"Control",27.24,27.24,14274,NA,NA,NA,NA,0,14.274
"DTR_297386","DTR_297386_3","P22_CoatProtein|Phage_capsid_2",285,94.37,0,0,"Mini",94.37,94.37,9254,NA,NA,NA,NA,0,9.254
"DTR_103561","DTR_103561_11","Phage_capsid|TadF",287,72.03,0,0,"Control",72.03,72.03,12479,NA,NA,NA,NA,0,12.479
"DTR_238604","DTR_238604_17","DUF2059|Phage_capsid",414,65.38,0,0,"Control",65.38,65.38,13517,NA,NA,NA,NA,0,13.517
"DTR_578757","DTR_578757_12","DUF2111|Phage_capsid",421,65.24,0,0,"Mini",65.24,65.24,9924,NA,NA,NA,NA,0,9.924
"DTR_515256","DTR_515256_1","P22_CoatProtein|S-l_SbsC_C",359,43.85,0,0,"Micro",43.85,43.85,2834,NA,NA,NA,NA,0,2.834
"DTR_563370","DTR_563370_2","Phage_capsid_2|VP40",283,24.47,0,0,"Mini",24.47,24.47,8324,NA,NA,NA,NA,0,8.324
"DTR_747061","DTR_747061_5","FeoB_N|Linocin_M18",278,50.18,50.18,100,"Mini",50.18,50.18,8470,NA,NA,NA,NA,1,8.47
"DTR_208653","DTR_208653_1","Phage_capsid",148,76.87,0,0,"Mini",76.87,76.87,11559,NA,NA,NA,NA,0,11.559
"DTR_308262","DTR_308262_11","Phage_capsid|Pinin_SDK_memA",410,24.45,0,0,"Mini",24.45,24.45,10543,NA,NA,NA,NA,0,10.543
"DTR_167322","DTR_167322_11","Phage_capsid",370,66.94,0,0,"Mini",66.94,66.94,6749,NA,NA,NA,NA,0,6.749
"DTR_742751","DTR_742751_1","Phage_capsid|Phage_capsid_2",290,62.98,0,0,"Micro",62.98,62.98,4676,NA,NA,NA,NA,0,4.676
"DTR_529619","DTR_529619_1","P22_CoatProtein|S-l_SbsC_C",359,43.85,0,0,"Micro",43.85,43.85,2834,NA,NA,NA,NA,0,2.834
"DTR_272300","DTR_272300_5","MAP2_projctn|Phage_capsid",291,32.07,0,0,"Control",32.07,32.07,15001,NA,NA,NA,NA,0,15.001
"DTR_399916","DTR_399916_2","Mst1_SARAH|Phage_capsid",408,65.36,0,0,"Control",65.36,65.36,13788,NA,NA,NA,NA,0,13.788
"DTR_799579","DTR_799579_19","FlhD|Peptidase_S78|Phage_capsid",544,47.51,0,0,"Control",47.51,47.51,16783,NA,NA,NA,NA,0,16.783
"DTR_309258","DTR_309258_13","Phage_capsid",399,65.58,0,0,"Mini",65.58,65.58,8081,NA,NA,NA,NA,0,8.081
"DTR_648821","DTR_648821_7","Phage_capsid",530,43.48,0,0,"Control",43.48,43.48,16073,NA,NA,NA,NA,0,16.073
"DTR_317702","DTR_317702_8","Peptidase_S78|Phage_capsid",512,42.66,0,0,"Control",42.66,42.66,14400,NA,NA,NA,NA,0,14.4
"DTR_308645","DTR_308645_9","Phage_capsid",299,94.97,0,0,"Control",94.97,94.97,15909,NA,NA,NA,NA,0,15.909
"DTR_176117","DTR_176117_13","Peptidase_S78|Phage_capsid",502,36.73,0,0,"Control",36.73,36.73,15734,NA,NA,NA,NA,0,15.734
"DTR_078632","DTR_078632_8","Linocin_M18|Phage_capsid_2",283,35.82,35.11,98.01786711,"Mini",35.82,35.82,8887,NA,NA,NA,NA,0.9801786711,8.887
"DTR_233895","DTR_233895_22","Peptidase_S78|Phage_capsid",509,47.05,0,0,"Control",47.05,47.05,16950,NA,NA,NA,NA,0,16.95
"DTR_318828","DTR_318828_1","Phage_capsid",348,70.32,0,0,"Control",70.32,70.32,14958,NA,NA,NA,NA,0,14.958
"DTR_153531","DTR_153531_24","Phage_capsid",302,80.73,0,0,"Control",80.73,80.73,14893,NA,NA,NA,NA,0,14.893
"DTR_860306","DTR_860306_9","DUF1192|Phage_capsid",391,55.9,0,0,"Control",55.9,55.9,14016,NA,NA,NA,NA,0,14.016
"DTR_773255","DTR_773255_5","P22_CoatProtein|S-l_SbsC_C",359,43.85,0,0,"Micro",43.85,43.85,2788,NA,NA,NA,NA,0,2.788
"DTR_075608","DTR_075608_16","DUF6645|His_biosynth|Phage_capsid|Phage_capsid_2",302,93.36,0,0,"Control",93.36,93.36,14241,NA,NA,NA,NA,0,14.241
"DTR_651706","DTR_651706_11","NDT80_PhoG|Phage_capsid",389,65.46,0,0,"Mini",65.46,65.46,8635,NA,NA,NA,NA,0,8.635
"DTR_843919","DTR_843919_6","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13264,NA,NA,NA,NA,0,13.264
"DTR_676339","DTR_676339_3","Gp13-like|Phage_capsid|Phage_capsid_2",293,95.21,0,0,"Micro",95.21,95.21,3454,NA,NA,NA,NA,0,3.454
"DTR_670634","DTR_670634_6","Phage_cap_E",347,95.66,0,0,"Mini",95.66,95.66,10898,NA,NA,NA,NA,0,10.898
"DTR_798369","DTR_798369_16","Phage_cap_E",376,83.73,0,0,"Control",83.73,83.73,18904,NA,NA,NA,NA,0,18.904
"DTR_842455","DTR_842455_13","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,13174,NA,NA,NA,NA,0,13.174
"DTR_285874","DTR_285874_18","Head-tail_con|Phage_capsid_2",293,57.88,0,0,"Control",57.88,57.88,12421,NA,NA,NA,NA,0,12.421
"DTR_497051","DTR_497051_4","DUF2059|Phage_capsid",414,65.38,0,0,"Control",65.38,65.38,13563,NA,NA,NA,NA,0,13.563
"DTR_382297","DTR_382297_10","DUF1192|Phage_capsid",391,55.9,0,0,"Control",55.9,55.9,13975,NA,NA,NA,NA,0,13.975
"DTR_540221","DTR_540221_14","Phage_capsid",410,65.04,0,0,"Control",65.04,65.04,12868,NA,NA,NA,NA,0,12.868
"DTR_260418","DTR_260418_10","Phage_capsid_2",92,57.14,0,0,"Control",57.14,57.14,16386,NA,NA,NA,NA,0,16.386
"DTR_643080","DTR_643080_7","ArnB_C|DUF1771|LUC7|Phage_capsid",408,66.09,0,0,"Mini",66.09,66.09,8315,NA,NA,NA,NA,0,8.315
"DTR_063996","DTR_063996_10","DUF4235|Peptidase_S78|Phage_capsid|a_DG1_N2|bZIP_2",525,27.1,0,0,"Control",27.1,27.1,14314,NA,NA,NA,NA,0,14.314
"DTR_807671","DTR_807671_10","BD-FAE|Phage_capsid",286,94.04,0,0,"Mini",94.04,94.04,8299,NA,NA,NA,NA,0,8.299
"DTR_833319","DTR_833319_2","Casc1_N|DUF1664|DUF2184|FapA|LCD1|Phage_min_cap2|Ycf1",483,9.13,0,0,"Mini",9.13,9.13,10799,NA,NA,NA,NA,0,10.799
"DTR_717378","DTR_717378_17","Peptidase_S78|Phage_capsid",507,43.87,0,0,"Control",43.87,43.87,16231,NA,NA,NA,NA,0,16.231
"DTR_461196","DTR_461196_4","Phage_cap_E",335,95.51,0,0,"Control",95.51,95.51,12205,NA,NA,NA,NA,0,12.205
"DTR_305057","DTR_305057_15","DUF5309",423,72.04,0,0,"Control",72.04,72.04,17763,NA,NA,NA,NA,0,17.763
"DTR_312520","DTR_312520_20","DUF4687|Peptidase_S78|Phage_capsid",514,52.05,0,0,"Control",52.05,52.05,14691,NA,NA,NA,NA,0,14.691
"DTR_719659","DTR_719659_13","BLOC1_2|DUF4407|Phage_capsid|PspB|YPEB_N",389,72.42,0,0,"Control",72.42,72.42,16261,NA,NA,NA,NA,0,16.261
"DTR_719332","DTR_719332_8","FlhD|Peptidase_S78|Phage_capsid",553,46.74,0,0,"Control",46.74,46.74,16416,NA,NA,NA,NA,0,16.416
"DTR_369170","DTR_369170_12","Phage_capsid",410,64.79,0,0,"Control",64.79,64.79,13826,NA,NA,NA,NA,0,13.826
"DTR_263575","DTR_263575_10","Peptidase_S78|Phage_capsid",497,47.78,0,0,"Control",47.78,47.78,15635,NA,NA,NA,NA,0,15.635
"DTR_610665","DTR_610665_1","Phage_capsid",199,95.96,0,0,"Mini",95.96,95.96,6636,NA,NA,NA,NA,0,6.636
"DTR_685689","DTR_685689_16","Linocin_M18",280,61.29,61.29,100,"Mini",61.29,61.29,9653,NA,NA,NA,NA,1,9.653
"DTR_291262","DTR_291262_12","Phage_capsid",417,64.9,0,0,"Mini",64.9,64.9,9865,NA,NA,NA,NA,0,9.865
"DTR_262041","DTR_262041_11","DUF2213|Phage_capsid",565,48.76,0,0,"Mini",48.76,48.76,9934,NA,NA,NA,NA,0,9.934
"DTR_680166","DTR_680166_4","PRESAN|Peptidase_S78|Phage_capsid",509,50,0,0,"Control",50,50,14884,NA,NA,NA,NA,0,14.884
"DTR_233705","DTR_233705_22","NESP55|Peptidase_S78|Phage_capsid",543,41.14,0,0,"Control",41.14,41.14,16157,NA,NA,NA,NA,0,16.157
"DTR_172398","DTR_172398_7","Peptidase_S78|Phage_capsid|UPF0236",513,51.95,0,0,"Control",51.95,51.95,15632,NA,NA,NA,NA,0,15.632
"DTR_330284","DTR_330284_17","Peptidase_S78|Phage_capsid",517,40.5,0,0,"Control",40.5,40.5,15329,NA,NA,NA,NA,0,15.329
"DTR_046162","DTR_046162_14","HicB_lk_antitox|Phage_capsid_2|RNase_3_N|ZNRF_3_ecto",287,62.24,0,0,"Control",62.24,62.24,11811,NA,NA,NA,NA,0,11.811
"DTR_667928","DTR_667928_12","Importin_rep_5|Phage_capsid",413,64.56,0,0,"Mini",64.56,64.56,11215,NA,NA,NA,NA,0,11.215
"DTR_357669","DTR_357669_8","Linocin_M18",287,33.57,33.57,100,"Control",33.57,33.57,14375,NA,NA,NA,NA,1,14.375
"DTR_139151","DTR_139151_1","DUF349|PSDC|Phage_capsid",430,65.03,0,0,"Mini",65.03,65.03,8006,NA,NA,NA,NA,0,8.006
"DTR_448921","DTR_448921_3","Phage_capsid",408,70.27,0,0,"Control",70.27,70.27,11747,NA,NA,NA,NA,0,11.747
"DTR_571610","DTR_571610_4","Phage_capsid",403,65.42,0,0,"Mini",65.42,65.42,8074,NA,NA,NA,NA,0,8.074
"DTR_137462","DTR_137462_29","Peptidase_S78|Phage_capsid|Phage_capsid_2",517,53.68,0,0,"Control",53.68,53.68,16533,NA,NA,NA,NA,0,16.533
"DTR_314495","DTR_314495_9","Peptidase_S78|Phage_capsid",536,31.4,0,0,"Control",31.4,31.4,14801,NA,NA,NA,NA,0,14.801
"DTR_293656","DTR_293656_14","LtuA|Phage_capsid",401,71.75,0,0,"Control",71.75,71.75,18494,NA,NA,NA,NA,0,18.494
"DTR_692874","DTR_692874_6","LKAAEAR|Phage_capsid",407,65.76,0,0,"Control",65.76,65.76,14318,NA,NA,NA,NA,0,14.318
"DTR_671953","DTR_671953_17","MBG|Peptidase_S78|Phage_capsid",514,55.17,0,0,"Control",55.17,55.17,14532,NA,NA,NA,NA,0,14.532
