id,protein_id,hits_to,query_protein_length,percentage_phage_coat,percentage_encapsulin,enc_perc_fraction,group,clan_phagecoat_percentage,clan_phagecoat_percentage_adjusted
DTR_202400,DTR_202400_18,Mu-like_gpT|UB2H,636,27.87,0,0,Control,27.87,27.87
DTR_177286,DTR_177286_9,Phage_cap_E,336,94.63,0,0,Control,94.63,94.63
DTR_293195,DTR_293195_8,Phage_capsid,451,56.22,0,0,Control,56.22,56.22
DTR_330594,DTR_330594_1,Phage_capsid,282,95.39,0,0,Control,95.39,95.39
DTR_552000,DTR_552000_20,Phage_cap_E,351,93.71,0,0,Control,93.71,93.71
DTR_410906,DTR_410906_21,BLOC1_2|Phage_capsid|TMP_3,397,72.22,0,0,Control,72.22,72.22
DTR_194887,DTR_194887_1,Linocin_M18|Phage_capsid,451,54,18.44,34.14814815,Control,54,54
DTR_015222,DTR_015222_1,Alanine_zipper|MOZART2|Phage_capsid,340,71.39,0,0,Mini,71.39,71.39
DTR_891713,DTR_891713_18,Phage_cap_E,306,21.97,0,0,Control,21.97,21.97
DTR_825593,DTR_825593_3,P22_CoatProtein|S-l_SbsC_C,358,43.14,0,0,Micro,43.14,43.14
DTR_524254,DTR_524254_7,Mu-like_gpT,310,65.05,0,0,Mini,65.05,65.05
DTR_141853,DTR_141853_18,Linocin_M18|Peptidase_S78|Phage_capsid|fvmX7,519,58.88,19.88,33.76358696,Control,58.88,58.88
DTR_029648,DTR_029648_10,Phage_cap_E,305,32.57,0,0,Control,32.57,32.57
DTR_672116,DTR_672116_11,Linocin_M18|aSelB_III,281,35.71,35.71,100,Mini,35.71,35.71
DTR_499197,DTR_499197_11,Phage_capsid,403,64.43,0,0,Mini,64.43,64.43
DTR_164333,DTR_164333_5,DUF948|GAT|Phage_capsid,399,29.9,0,0,Mini,29.9,29.9
DTR_887541,DTR_887541_15,Phage_cap_E,336,94.63,0,0,Control,94.63,94.63
DTR_297884,DTR_297884_1,Gp10A-like|Hex_IIIa|Phage_capsid_2,285,70.42,0,0,Control,70.42,70.42
DTR_141862,DTR_141862_6,Phage_capsid,300,94.31,0,0,Control,94.31,94.31
DTR_111873,DTR_111873_11,Phage_capsid,352,38.46,0,0,Mini,38.46,38.46
DTR_233706,DTR_233706_10,NESP55|Peptidase_S78|Phage_capsid,542,46.77,0,0,Control,46.77,46.77
DTR_833160,DTR_833160_2,Peptidase_S78|Phage_capsid,519,49.42,0,0,Control,49.42,49.42
DTR_605977,DTR_605977_4,Phage_capsid,318,86.75,0,0,Mini,86.75,86.75
DTR_086868,DTR_086868_17,EspB|Osmo_CC|Phage_capsid|Plasmid_RAQPRD,416,68.67,0,0,Control,68.67,68.67
DTR_075082,DTR_075082_12,Phage_cap_E,376,83.73,0,0,Control,83.73,83.73
DTR_508808,DTR_508808_6,Peptidase_S78|Phage_capsid|Sigma70_ner,604,42.29,0,0,Mini,42.29,42.29
DTR_141861,DTR_141861_8,Peptidase_S78|Phage_capsid_2,523,18.77,0,0,Control,18.77,18.77
DTR_531772,DTR_531772_7,Phage_capsid,431,61.86,0,0,Mini,61.86,61.86
DTR_277084,DTR_277084_12,DUF5073|Phage_capsid,650,43.14,0,0,Control,43.14,43.14
DTR_125648,DTR_125648_7,Peptidase_S78|Peptidase_S78_2|Phage_capsid,604,58.54,0,0,Control,58.54,58.54
DTR_677504,DTR_677504_16,Gp10A-like|Hex_IIIa|Phage_capsid_2,285,70.42,0,0,Control,70.42,70.42
DTR_315459,DTR_315459_12,Peptidase_S78|Phage_capsid,537,31.16,0,0,Control,31.16,31.16
DTR_112546,DTR_112546_28,Peptidase_S78|Phage_capsid,509,46.65,0,0,Control,46.65,46.65
DTR_285879,DTR_285879_5,Phage_capsid,412,63.5,0,0,Mini,63.5,63.5
DTR_264261,DTR_264261_13,Peptidase_S78|Phage_capsid,503,29.68,0,0,Control,29.68,29.68
DTR_872783,DTR_872783_12,FMN_bind|Get5_C|Phage_capsid,411,64.39,0,0,Control,64.39,64.39
DTR_364416,DTR_364416_9,Linocin_M18|Phage_cap_E,289,40.62,29.51,72.64894141,Control,40.62,40.62
DTR_311890,DTR_311890_15,Peptidase_S78|Phage_capsid,489,55.33,0,0,Control,55.33,55.33
DTR_616027,DTR_616027_8,Linocin_M18,277,40.94,40.94,100,Mini,40.94,40.94
DTR_621082,DTR_621082_7,DUF4235|Peptidase_S78|Phage_capsid,526,27.24,0,0,Control,27.24,27.24
DTR_297386,DTR_297386_3,P22_CoatProtein|Phage_capsid_2,285,94.37,0,0,Mini,94.37,94.37
DTR_103561,DTR_103561_11,Phage_capsid|TadF,287,72.03,0,0,Control,72.03,72.03
DTR_238604,DTR_238604_17,DUF2059|Phage_capsid,414,65.38,0,0,Control,65.38,65.38
DTR_578757,DTR_578757_12,DUF2111|Phage_capsid,421,65.24,0,0,Mini,65.24,65.24
DTR_515256,DTR_515256_1,P22_CoatProtein|S-l_SbsC_C,359,43.85,0,0,Micro,43.85,43.85
DTR_563370,DTR_563370_2,Phage_capsid_2|VP40,283,24.47,0,0,Mini,24.47,24.47
DTR_747061,DTR_747061_5,FeoB_N|Linocin_M18,278,50.18,50.18,100,Mini,50.18,50.18
DTR_208653,DTR_208653_1,Phage_capsid,148,76.87,0,0,Mini,76.87,76.87
DTR_308262,DTR_308262_11,Phage_capsid|Pinin_SDK_memA,410,24.45,0,0,Mini,24.45,24.45
DTR_167322,DTR_167322_11,Phage_capsid,370,66.94,0,0,Mini,66.94,66.94
DTR_742751,DTR_742751_1,Phage_capsid|Phage_capsid_2,290,62.98,0,0,Micro,62.98,62.98
DTR_529619,DTR_529619_1,P22_CoatProtein|S-l_SbsC_C,359,43.85,0,0,Micro,43.85,43.85
DTR_272300,DTR_272300_5,MAP2_projctn|Phage_capsid,291,32.07,0,0,Control,32.07,32.07
DTR_399916,DTR_399916_2,Mst1_SARAH|Phage_capsid,408,65.36,0,0,Control,65.36,65.36
DTR_799579,DTR_799579_19,FlhD|Peptidase_S78|Phage_capsid,544,47.51,0,0,Control,47.51,47.51
DTR_309258,DTR_309258_13,Phage_capsid,399,65.58,0,0,Mini,65.58,65.58
DTR_648821,DTR_648821_7,Phage_capsid,530,43.48,0,0,Control,43.48,43.48
DTR_317702,DTR_317702_8,Peptidase_S78|Phage_capsid,512,42.66,0,0,Control,42.66,42.66
DTR_308645,DTR_308645_9,Phage_capsid,299,94.97,0,0,Control,94.97,94.97
DTR_176117,DTR_176117_13,Peptidase_S78|Phage_capsid,502,36.73,0,0,Control,36.73,36.73
DTR_078632,DTR_078632_8,Linocin_M18|Phage_capsid_2,283,35.82,35.11,98.01786711,Mini,35.82,35.82
DTR_233895,DTR_233895_22,Peptidase_S78|Phage_capsid,509,47.05,0,0,Control,47.05,47.05
DTR_318828,DTR_318828_1,Phage_capsid,348,70.32,0,0,Control,70.32,70.32
DTR_153531,DTR_153531_24,Phage_capsid,302,80.73,0,0,Control,80.73,80.73
DTR_860306,DTR_860306_9,DUF1192|Phage_capsid,391,55.9,0,0,Control,55.9,55.9
DTR_773255,DTR_773255_5,P22_CoatProtein|S-l_SbsC_C,359,43.85,0,0,Micro,43.85,43.85
DTR_075608,DTR_075608_16,DUF6645|His_biosynth|Phage_capsid|Phage_capsid_2,302,93.36,0,0,Control,93.36,93.36
DTR_651706,DTR_651706_11,NDT80_PhoG|Phage_capsid,389,65.46,0,0,Mini,65.46,65.46
DTR_843919,DTR_843919_6,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_676339,DTR_676339_3,Gp13-like|Phage_capsid|Phage_capsid_2,293,95.21,0,0,Micro,95.21,95.21
DTR_670634,DTR_670634_6,Phage_cap_E,347,95.66,0,0,Mini,95.66,95.66
DTR_798369,DTR_798369_16,Phage_cap_E,376,83.73,0,0,Control,83.73,83.73
DTR_842455,DTR_842455_13,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_285874,DTR_285874_18,Head-tail_con|Phage_capsid_2,293,57.88,0,0,Control,57.88,57.88
DTR_497051,DTR_497051_4,DUF2059|Phage_capsid,414,65.38,0,0,Control,65.38,65.38
DTR_382297,DTR_382297_10,DUF1192|Phage_capsid,391,55.9,0,0,Control,55.9,55.9
DTR_540221,DTR_540221_14,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_260418,DTR_260418_10,Phage_capsid_2,92,57.14,0,0,Control,57.14,57.14
DTR_643080,DTR_643080_7,ArnB_C|DUF1771|LUC7|Phage_capsid,408,66.09,0,0,Mini,66.09,66.09
DTR_063996,DTR_063996_10,DUF4235|Peptidase_S78|Phage_capsid|a_DG1_N2|bZIP_2,525,27.1,0,0,Control,27.1,27.1
DTR_807671,DTR_807671_10,BD-FAE|Phage_capsid,286,94.04,0,0,Mini,94.04,94.04
DTR_833319,DTR_833319_2,Casc1_N|DUF1664|DUF2184|FapA|LCD1|Phage_min_cap2|Ycf1,483,9.13,0,0,Mini,9.13,9.13
DTR_717378,DTR_717378_17,Peptidase_S78|Phage_capsid,507,43.87,0,0,Control,43.87,43.87
DTR_461196,DTR_461196_4,Phage_cap_E,335,95.51,0,0,Control,95.51,95.51
DTR_305057,DTR_305057_15,DUF5309,423,72.04,0,0,Control,72.04,72.04
DTR_312520,DTR_312520_20,DUF4687|Peptidase_S78|Phage_capsid,514,52.05,0,0,Control,52.05,52.05
DTR_719659,DTR_719659_13,BLOC1_2|DUF4407|Phage_capsid|PspB|YPEB_N,389,72.42,0,0,Control,72.42,72.42
DTR_719332,DTR_719332_8,FlhD|Peptidase_S78|Phage_capsid,553,46.74,0,0,Control,46.74,46.74
DTR_369170,DTR_369170_12,Phage_capsid,410,64.79,0,0,Control,64.79,64.79
DTR_263575,DTR_263575_10,Peptidase_S78|Phage_capsid,497,47.78,0,0,Control,47.78,47.78
DTR_610665,DTR_610665_1,Phage_capsid,199,95.96,0,0,Mini,95.96,95.96
DTR_685689,DTR_685689_16,Linocin_M18,280,61.29,61.29,100,Mini,61.29,61.29
DTR_291262,DTR_291262_12,Phage_capsid,417,64.9,0,0,Mini,64.9,64.9
DTR_262041,DTR_262041_11,DUF2213|Phage_capsid,565,48.76,0,0,Mini,48.76,48.76
DTR_680166,DTR_680166_4,PRESAN|Peptidase_S78|Phage_capsid,509,50,0,0,Control,50,50
DTR_233705,DTR_233705_22,NESP55|Peptidase_S78|Phage_capsid,543,41.14,0,0,Control,41.14,41.14
DTR_172398,DTR_172398_7,Peptidase_S78|Phage_capsid|UPF0236,513,51.95,0,0,Control,51.95,51.95
DTR_330284,DTR_330284_17,Peptidase_S78|Phage_capsid,517,40.5,0,0,Control,40.5,40.5
DTR_046162,DTR_046162_14,HicB_lk_antitox|Phage_capsid_2|RNase_3_N|ZNRF_3_ecto,287,62.24,0,0,Control,62.24,62.24
DTR_667928,DTR_667928_12,Importin_rep_5|Phage_capsid,413,64.56,0,0,Mini,64.56,64.56
DTR_357669,DTR_357669_8,Linocin_M18,287,33.57,33.57,100,Control,33.57,33.57
DTR_139151,DTR_139151_1,DUF349|PSDC|Phage_capsid,430,65.03,0,0,Mini,65.03,65.03
DTR_448921,DTR_448921_3,Phage_capsid,408,70.27,0,0,Control,70.27,70.27
DTR_571610,DTR_571610_4,Phage_capsid,403,65.42,0,0,Mini,65.42,65.42
DTR_137462,DTR_137462_29,Peptidase_S78|Phage_capsid|Phage_capsid_2,517,53.68,0,0,Control,53.68,53.68
DTR_314495,DTR_314495_9,Peptidase_S78|Phage_capsid,536,31.4,0,0,Control,31.4,31.4
DTR_293656,DTR_293656_14,LtuA|Phage_capsid,401,71.75,0,0,Control,71.75,71.75
DTR_692874,DTR_692874_6,LKAAEAR|Phage_capsid,407,65.76,0,0,Control,65.76,65.76
DTR_671953,DTR_671953_17,MBG|Peptidase_S78|Phage_capsid,514,55.17,0,0,Control,55.17,55.17
DTR_785540,DTR_785540_20,Peptidase_S78|Phage_capsid,524,45.32,0,0,Control,45.32,45.32
DTR_623112,DTR_623112_15,DUF499|Peptidase_S78|Phage_capsid|Sfi1,519,49.03,0,0,Control,49.03,49.03
DTR_233482,DTR_233482_1,Phage_capsid,355,59.6,0,0,Control,59.6,59.6
DTR_330595,DTR_330595_3,DUF6242|Med3|Peptidase_S78|Phage_capsid|dbPDZ_assoc,513,54.49,0,0,Control,54.49,54.49
DTR_308646,DTR_308646_9,Peptidase_S78|Phage_capsid,503,29.68,0,0,Control,29.68,29.68
DTR_696250,DTR_696250_1,Phage_capsid,61,91.67,0,0,Mini,91.67,91.67
DTR_238331,DTR_238331_9,Phage_capsid_2|Terpene_synth_C,279,43.17,0,0,Mini,43.17,43.17
DTR_788307,DTR_788307_11,Phage_capsid,411,64.39,0,0,Control,64.39,64.39
DTR_195375,DTR_195375_1,Phage_capsid,230,45.65,0,0,Mini,45.65,45.65
DTR_381438,DTR_381438_10,DUF1192|Phage_capsid,391,55.9,0,0,Control,55.9,55.9
DTR_457753,DTR_457753_7,DUF1428|DUF4829|Linocin_M18,283,28.37,28.37,100,Mini,28.37,28.37
DTR_096704,DTR_096704_12,Peptidase_S78|Phage_capsid,530,35.35,0,0,Control,35.35,35.35
DTR_142904,DTR_142904_3,Peptidase_S78|Phage_capsid,542,55.82,0,0,Control,55.82,55.82
DTR_721870,DTR_721870_18,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_183491,DTR_183491_1,Phage_capsid,339,55.62,0,0,Mini,55.62,55.62
DTR_658689,DTR_658689_3,DUF2184|Phage_capsid,385,67.97,0,0,Control,67.97,67.97
DTR_702746,DTR_702746_14,DUF5309,376,73.6,0,0,Control,73.6,73.6
DTR_196699,DTR_196699_26,GP7,307,58.17,0,0,Control,58.17,58.17
DTR_183466,DTR_183466_17,DUF5309|GP7,304,70.63,0,0,Control,70.63,70.63
DTR_416398,DTR_416398_9,Phage_capsid,415,64.49,0,0,Control,64.49,64.49
DTR_819828,DTR_819828_5,AICARFT_IMPCHas|Phage_capsid|Stealth_CR2,303,91.39,0,0,Mini,91.39,91.39
DTR_698367,DTR_698367_16,Lipoprotein_Ltp|Phage_capsid|TBX2-3_RD,298,93.94,0,0,Control,93.94,93.94
DTR_102425,DTR_102425_8,Phage_capsid,412,64.96,0,0,Control,64.96,64.96
DTR_448419,DTR_448419_4,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_657818,DTR_657818_12,EP400_N|Mu-like_gpT,287,93.71,0,0,Control,93.71,93.71
DTR_769160,DTR_769160_8,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_400789,DTR_400789_12,Peptidase_S78|Phage_capsid,523,22.22,0,0,Control,22.22,22.22
DTR_288364,DTR_288364_20,DUF5309,364,90.63,0,0,Control,90.63,90.63
DTR_573972,DTR_573972_8,BD-FAE|Phage_capsid,286,94.04,0,0,Mini,94.04,94.04
DTR_267635,DTR_267635_7,Phage_cap_E,307,31.7,0,0,Mini,31.7,31.7
DTR_593252,DTR_593252_11,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_302120,DTR_302120_1,Peptidase_S78|Phage_capsid,382,62.2,0,0,Control,62.2,62.2
DTR_012667,DTR_012667_4,Phage_capsid,390,73.01,0,0,Control,73.01,73.01
DTR_703158,DTR_703158_8,DUF5309,376,73.6,0,0,Control,73.6,73.6
DTR_123792,DTR_123792_6,Gp10A-like|Hex_IIIa|Phage_capsid_2,285,70.42,0,0,Control,70.42,70.42
DTR_250521,DTR_250521_9,Phage_capsid,403,62.69,0,0,Mini,62.69,62.69
DTR_889249,DTR_889249_1,DUF2213|PA-IIL|Peptidase_S78|Phage_capsid,556,49.01,0,0,Mini,49.01,49.01
DTR_718285,DTR_718285_7,Peptidase_S78|Phage_capsid,499,25.1,0,0,Control,25.1,25.1
DTR_012549,DTR_012549_9,Peptidase_S78|Phage_capsid,507,53.95,0,0,Control,53.95,53.95
DTR_029917,DTR_029917_9,DUF1412|DUF2184|Glyco_hydro_88|Peptidase_S78|Phage_capsid,499,54.02,0,0,Control,54.02,54.02
DTR_207850,DTR_207850_2,Phage_capsid,435,57.14,0,0,Control,57.14,57.14
DTR_255641,DTR_255641_2,Phage_capsid,405,65.1,0,0,Mini,65.1,65.1
DTR_696245,DTR_696245_2,DUF2213|Phage_capsid,565,48.76,0,0,Mini,48.76,48.76
DTR_385862,DTR_385862_3,Linocin_M18|Phage_capsid_2|Zot,279,41.37,30.22,73.04810249,Mini,41.37,41.37
DTR_052833,DTR_052833_10,DUF6645|Phage_capsid|TBX2-3_RD,302,93.36,0,0,Control,93.36,93.36
DTR_242101,DTR_242101_8,Linocin_M18,282,38.79,38.79,100,Mini,38.79,38.79
DTR_315168,DTR_315168_27,DUF1199|Phage_capsid,379,46.03,0,0,Control,46.03,46.03
DTR_024296,DTR_024296_1,MutL|Phage_capsid,313,88.14,0,0,Mini,88.14,88.14
DTR_308714,DTR_308714_11,Phage_capsid|WXG100|tRNA-synt_His,394,77.61,0,0,Mini,77.61,77.61
DTR_868597,DTR_868597_1,Phage_capsid,389,67.78,0,0,Mini,67.78,67.78
DTR_416267,DTR_416267_7,DUF3600|Linocin_M18,282,61.21,61.21,100,Mini,61.21,61.21
DTR_779700,DTR_779700_10,Phage_capsid,412,64.96,0,0,Control,64.96,64.96
DTR_263455,DTR_263455_3,Peptidase_S78|Phage_capsid,497,47.78,0,0,Control,47.78,47.78
DTR_075612,DTR_075612_13,Phage_capsid,399,65.58,0,0,Mini,65.58,65.58
DTR_605894,DTR_605894_5,Phage_capsid|zf-Paramyx-P,249,89.52,0,0,Micro,89.52,89.52
DTR_106013,DTR_106013_8,Phage_capsid|YkyA,403,67.41,0,0,Mini,67.41,67.41
DTR_201646,DTR_201646_10,DUF5309,349,89.08,0,0,Control,89.08,89.08
DTR_397093,DTR_397093_14,Peptidase_S78|Phage_capsid,523,22.22,0,0,Control,22.22,22.22
DTR_309461,DTR_309461_7,Phage_capsid|Pinin_SDK_memA,410,24.45,0,0,Mini,24.45,24.45
DTR_702830,DTR_702830_15,DUF5309,376,73.6,0,0,Control,73.6,73.6
DTR_839598,DTR_839598_9,Phage_capsid,408,64.37,0,0,Control,64.37,64.37
DTR_355778,DTR_355778_3,Mu-like_gpT,608,20.1,0,0,Control,20.1,20.1
DTR_846934,DTR_846934_5,Phage_capsid,410,65.28,0,0,Control,65.28,65.28
DTR_625978,DTR_625978_10,ABC_tran_CTD|EF-G-binding_N|Med4|Phage_capsid,432,62.41,0,0,Mini,62.41,62.41
DTR_612390,DTR_612390_22,GP44|Phage_capsid,302,95.02,0,0,Control,95.02,95.02
DTR_300199,DTR_300199_14,Peptidase_S78|Phage_capsid,530,56.71,0,0,Control,56.71,56.71
DTR_848521,DTR_848521_12,FlhD|Peptidase_S78|Phage_capsid,553,50.18,0,0,Control,50.18,50.18
DTR_806832,DTR_806832_2,DUF499|Peptidase_S78|Phage_capsid|Sfi1,519,49.03,0,0,Control,49.03,49.03
DTR_787895,DTR_787895_3,OSK|Phage_capsid,305,92.11,0,0,Mini,92.11,92.11
DTR_317327,DTR_317327_2,Peptidase_S78|Phage_capsid,542,38.82,0,0,Control,38.82,38.82
DTR_743242,DTR_743242_17,Linocin_M18,280,61.29,61.29,100,Mini,61.29,61.29
DTR_608812,DTR_608812_7,Phage_capsid,436,54.94,0,0,Mini,54.94,54.94
DTR_812724,DTR_812724_22,Peptidase_S78|Phage_capsid,523,30.46,0,0,Control,30.46,30.46
DTR_314497,DTR_314497_19,BNIP3|Peptidase_S78|Phage_capsid,529,39.77,0,0,Control,39.77,39.77
DTR_032304,DTR_032304_23,Peptidase_S78|Phage_capsid,557,45.86,0,0,Control,45.86,45.86
DTR_309457,DTR_309457_21,CDC45|DDHD|Hid1|Phage_capsid|TFIIA,584,27.57,0,0,Control,27.57,27.57
DTR_514795,DTR_514795_17,Phage_capsid,387,69.17,0,0,Control,69.17,69.17
DTR_432644,DTR_432644_13,Phage_capsid,422,66.03,0,0,Mini,66.03,66.03
DTR_642689,DTR_642689_15,Phage_capsid,407,64.78,0,0,Control,64.78,64.78
DTR_152004,DTR_152004_13,Peptidase_S78|Peptidase_S78_2|Phage_capsid,604,58.54,0,0,Control,58.54,58.54
DTR_397125,DTR_397125_1,Peptidase_S78|Phage_capsid,523,22.22,0,0,Control,22.22,22.22
DTR_833096,DTR_833096_22,Peptidase_S78|Phage_capsid,519,49.42,0,0,Control,49.42,49.42
DTR_744721,DTR_744721_24,Peptidase_S78|Phage_capsid,523,22.22,0,0,Control,22.22,22.22
DTR_673333,DTR_673333_7,Peptidase_S78|Phage_capsid,523,22.03,0,0,Control,22.03,22.03
DTR_551906,DTR_551906_5,Phage_capsid,176,65.14,0,0,Mini,65.14,65.14
DTR_807300,DTR_807300_3,DUF4043|Phage_capsid_2,331,33.94,0,0,Mini,33.94,33.94
DTR_306100,DTR_306100_12,Phage_capsid|Pinin_SDK_memA,410,24.45,0,0,Mini,24.45,24.45
DTR_103101,DTR_103101_5,Phage_capsid,415,64.49,0,0,Control,64.49,64.49
DTR_313409,DTR_313409_18,Phage_capsid,395,70.3,0,0,Control,70.3,70.3
DTR_729700,DTR_729700_17,Linocin_M18,278,44.6,44.6,100,Mini,44.6,44.6
DTR_077787,DTR_077787_5,Phage_capsid|TMF_DNA_bd,377,71.01,0,0,Mini,71.01,71.01
DTR_313412,DTR_313412_13,DUF6645|Phage_capsid|TBX2-3_RD,302,93.36,0,0,Control,93.36,93.36
DTR_011528,DTR_011528_14,CBP_BcsN|Phage_cap_E,334,95.8,0,0,Control,95.8,95.8
DTR_268174,DTR_268174_11,DUF5309,377,59.84,0,0,Control,59.84,59.84
DTR_673219,DTR_673219_2,Peptidase_S78|Phage_capsid,523,30.46,0,0,Control,30.46,30.46
DTR_662589,DTR_662589_5,LUC7|Linocin_M18|Phage_capsid,439,66.44,26.48,39.85550873,Mini,66.44,66.44
DTR_316919,DTR_316919_8,Peptidase_S78|Phage_capsid,512,42.66,0,0,Control,42.66,42.66
DTR_812498,DTR_812498_18,FlhD|Peptidase_S78|Phage_capsid,546,51.01,0,0,Control,51.01,51.01
DTR_285289,DTR_285289_21,Peptidase_S78|Phage_capsid,507,47.43,0,0,Control,47.43,47.43
DTR_330282,DTR_330282_3,Peptidase_S78|Phage_capsid,511,53.33,0,0,Control,53.33,53.33
DTR_262726,DTR_262726_22,Peptidase_S78|Phage_capsid,503,29.68,0,0,Control,29.68,29.68
DTR_005710,DTR_005710_1,FlgN|Phage_capsid,333,57.96,0,0,Mini,57.96,57.96
DTR_189925,DTR_189925_4,Peptidase_S78|Peptidase_S78_2|Phage_capsid,613,45.75,0,0,Control,45.75,45.75
DTR_015206,DTR_015206_8,Phage_capsid,411,68.78,0,0,Control,68.78,68.78
DTR_264171,DTR_264171_19,Peptidase_S78|Phage_capsid,497,47.78,0,0,Control,47.78,47.78
DTR_704595,DTR_704595_7,Phage_cap_E,306,21.97,0,0,Control,21.97,21.97
DTR_315285,DTR_315285_12,Peptidase_S78|Phage_capsid|Phage_capsid_2,515,45.91,0,0,Control,45.91,45.91
DTR_290392,DTR_290392_3,Peptidase_S78|Phage_capsid,510,47.35,0,0,Control,47.35,47.35
DTR_659527,DTR_659527_9,DUF2059|Phage_capsid,410,64.55,0,0,Control,64.55,64.55
DTR_309073,DTR_309073_6,Phage_capsid|YkyA,403,67.41,0,0,Mini,67.41,67.41
DTR_608742,DTR_608742_6,Phage_capsid,325,74.38,0,0,Mini,74.38,74.38
DTR_242932,DTR_242932_12,Phage_capsid,439,61.42,0,0,Mini,61.42,61.42
DTR_615017,DTR_615017_18,Cep57_MT_bd|Peptidase_S78|Phage_capsid,523,26.63,0,0,Control,26.63,26.63
DTR_162079,DTR_162079_18,ABC_tran_CTD|DUF1664|FadA|Mod_r|ParB|Phage_capsid|Uso1_p115_C,448,67.11,0,0,Control,67.11,67.11
DTR_370818,DTR_370818_10,B|Phage_capsid,421,63.33,0,0,Control,63.33,63.33
DTR_166829,DTR_166829_4,GP7,307,58.17,0,0,Control,58.17,58.17
DTR_604311,DTR_604311_2,DUF1428|DUF4829|Linocin_M18,283,28.37,28.37,100,Mini,28.37,28.37
DTR_308555,DTR_308555_12,P22_CoatProtein,292,78.35,0,0,Control,78.35,78.35
DTR_497289,DTR_497289_4,Linocin_M18,282,41.64,41.64,100,Mini,41.64,41.64
DTR_841970,DTR_841970_8,Phage_cap_E,347,95.66,0,0,Mini,95.66,95.66
DTR_157114,DTR_157114_8,Gp10A-like,279,42.09,0,0,Mini,42.09,42.09
DTR_615329,DTR_615329_9,Phage_capsid,286,94.04,0,0,Mini,94.04,94.04
DTR_503504,DTR_503504_15,B|DUF2059|Phage_capsid,420,63.72,0,0,Control,63.72,63.72
DTR_694850,DTR_694850_5,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_007122,DTR_007122_4,Peptidase_S78|Phage_capsid|PipA|TP53IP5,645,46.27,0,0,Micro,46.27,46.27
DTR_757929,DTR_757929_2,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_401116,DTR_401116_8,Alpha_kinase|EthR_C|Med15|Phage_capsid,393,68.11,0,0,Mini,68.11,68.11
DTR_171620,DTR_171620_17,DUF1778|Peptidase_S78|Phage_capsid|UPF0236,514,47.56,0,0,Control,47.56,47.56
DTR_655871,DTR_655871_2,Phage_capsid,405,68.56,0,0,Mini,68.56,68.56
DTR_393186,DTR_393186_11,Phage_capsid,410,65.04,0,0,Control,65.04,65.04
DTR_451068,DTR_451068_1,Phage_capsid,285,59.86,0,0,Mini,59.86,59.86
DTR_677283,DTR_677283_7,Phage_capsid|Ribosomal_L9_N,412,66.67,0,0,Mini,66.67,66.67
DTR_554370,DTR_554370_1,HZS_alpha|LisH_2|P22_CoatProtein,289,28.12,0,0,Micro,28.12,28.12
DTR_208654,DTR_208654_1,Phage_capsid,377,61.27,0,0,Mini,61.27,61.27
DTR_533660,DTR_533660_21,Peptidase_S78|Phage_capsid,523,30.08,0,0,Control,30.08,30.08
DTR_824002,DTR_824002_19,Phage_capsid,407,65.27,0,0,Control,65.27,65.27
DTR_008854,DTR_008854_1,Phage_capsid,485,56.61,0,0,Mini,56.61,56.61
DTR_569034,DTR_569034_13,Phage_capsid,410,65.28,0,0,Control,65.28,65.28
DTR_039280,DTR_039280_7,DUF1953|P22_CoatProtein|Phage_capsid_2,294,93.86,0,0,Control,93.86,93.86
DTR_513567,DTR_513567_10,Peptidase_S78|Phage_capsid,499,50.4,0,0,Mini,50.4,50.4
DTR_087130,DTR_087130_6,Phage_capsid,347,76.01,0,0,Mini,76.01,76.01
DTR_141860,DTR_141860_2,DUF6645|Phage_capsid|TBX2-3_RD,302,93.36,0,0,Control,93.36,93.36
DTR_644602,DTR_644602_4,Mst1_SARAH|Phage_capsid,408,65.36,0,0,Control,65.36,65.36
DTR_653180,DTR_653180_1,Phage_cap_E,195,39.69,0,0,Control,39.69,39.69
DTR_248616,DTR_248616_2,Phage_cap_E,368,88.83,0,0,Micro,88.83,88.83
DTR_160658,DTR_160658_13,GP7,309,46.1,0,0,Control,46.1,46.1
DTR_330537,DTR_330537_2,Peptidase_S78|Phage_capsid,535,37.45,0,0,Control,37.45,37.45
DTR_348735,DTR_348735_3,Mu-like_gpT,359,29.89,0,0,Control,29.89,29.89
DTR_817419,DTR_817419_3,Peptidase_S78|Phage_capsid,524,49.9,0,0,Control,49.9,49.9
DTR_227469,DTR_227469_18,Peptidase_S78|Phage_capsid|Trypan_PARP,492,22.81,0,0,Control,22.81,22.81
DTR_784907,DTR_784907_3,Cadherin-like|Phage_capsid|Polyketide_cyc2|Ribosomal_S20p,482,38.25,0,0,Control,38.25,38.25
DTR_544701,DTR_544701_14,Linocin_M18,282,34.52,34.52,100,Mini,34.52,34.52
